,Game,Total,Twitch_Year,Genre
476,Super Mario Bros. 3,2991485.2308599995,2018,Platform
477,Super Mario Bros. 3,3125156.883408,2020,Platform
478,Super Mario Galaxy,5806751.269158,2016,Platform
479,Super Mario Galaxy,2735763.843771,2018,Platform
480,Super Mario Galaxy 2,758672.31363,2016,Platform
481,Super Mario Galaxy 2,9518589.683757002,2017,Platform
482,Super Mario Galaxy 2,6532934.139963001,2019,Platform
483,Super Mario Maker,763218145.786824,2016,Platform
484,Super Mario Maker,209909983.284561,2017,Platform
485,Super Mario Maker,226207718.26695,2018,Platform
486,Super Mario Maker,192121745.09682,2019,Platform
487,Super Mario RPG: Legend of the Seven Stars,5036820.748322999,2016,Role-Playing
488,Super Mario RPG: Legend of the Seven Stars,367616.663631,2017,Role-Playing
489,Super Mario RPG: Legend of the Seven Stars,5406544.149447,2019,Role-Playing
490,Super Mario Sunshine,13690166.784546,2016,Platform
491,Super Mario Sunshine,11011607.937792,2017,Platform
492,Super Mario Sunshine,8416070.915406,2018,Platform
493,Super Mario Sunshine,3776799.699813,2019,Platform
494,Super Mario Sunshine,25791066.258363,2020,Platform
495,Super Mario World,5803981.834245,2016,Platform
496,Super Mario World,7493094.02121,2017,Platform
497,Super Mario World,38392174.349928,2018,Platform
498,Super Mario World,79418464.86861,2019,Platform
499,Super Mario World,136105249.677789,2020,Platform
500,Super Mario World,210289432.487904,2021,Platform
501,Super Metroid,10730154.744813,2016,Action
502,Super Metroid,15085872.843006,2017,Action
503,Super Metroid,4555606.770288,2018,Action
504,Super Metroid,5680640.265552,2019,Action
505,Super Metroid,21048248.17662,2020,Action
506,Super Monkey Ball: Banana Blitz,850028.2756350001,2016,Misc
507,Super Smash Bros. Melee,572271118.765164,2016,Fighting
508,Super Smash Bros. Melee,490629086.19186,2017,Fighting
509,Super Smash Bros. Melee,385175995.279425,2018,Fighting
510,Super Smash Bros. Melee,238356878.609409,2019,Fighting
511,Super Smash Bros. Melee,388382958.16926897,2020,Fighting
512,Super Smash Bros. Melee,374560694.592693,2021,Fighting
513,TERA,1515413.137119,2016,Role-Playing
514,TERA,1008568.808037,2017,Role-Playing
515,TERA,6413704.481016,2018,Role-Playing
516,TMNT,831583.5076080001,2016,Action
